ID	Prec-100	Rec-100	Prec-200	Rec-200	Prec-400	Rec-400
NT_167185.1	0.834025149	0.817810445	0.86424703	0.861283397	0.894623784	0.894143607
NT_077528.2	0.809997238	0.790353005	0.847043934	0.841717571	0.899640288	0.898670499
NC_008397.2	0.941921354	0.93240843	0.970421419	0.96943106	0.986051155	0.985952174
NC_008398.2	0.950042427	0.941131529	0.973271724	0.972555678	0.986217274	0.986171311
NC_008399.2	0.951238057	0.94245256	0.972153674	0.971221611	0.984639524	0.984535312
NC_008400.2	0.954511697	0.946234576	0.973889539	0.973206227	0.98539944	0.985308553
NC_008401.2	0.95188894	0.943074057	0.974606861	0.973845075	0.988810287	0.988678584
NC_008403.2	0.958724475	0.950436468	0.977343089	0.976616121	0.987438609	0.987363492
CM001276	0.993451001	0.987862694	0.996042364	0.995778235	0.997903259	0.997770088
CM000302	0.994012546	0.98831713	0.99867694	0.998466487	0.999598798	0.999471903
CM000091	0.949142764	0.939394621	0.956067598	0.955036952	0.962386287	0.962136497
BA000004	0.969761591	0.963103978	0.971597943	0.971135542	0.978392271	0.978345707
FM178379	0.904387857	0.895072403	0.909750662	0.908546854	0.925997232	0.925718754
FP929060	1	0.994596073	1	0.999839171	1	0.999806999
FN543502	0.96835449	0.960928806	0.970512845	0.970149812	0.975796798	0.975760296
AE017198	0.980815832	0.974958599	0.981527032	0.981231495	0.984342066	0.984342066
CP000048	0.998092227	0.99268134	0.997939933	0.997939933	0.998699046	0.998699046
CU234118	0.995408886	0.99005579	0.996083323	0.995909664	0.996352029	0.996298581
CP001699	0.993406412	0.987926397	0.995266376	0.995146429	0.99664731	0.996603633
CP003348	0.990306853	0.984601145	0.992154957	0.992017215	0.993243556	0.993243556
AM263198	0.989542367	0.983511895	0.989763276	0.989517075	0.990547935	0.990547935
CP001037	0.98057932	0.97435119	0.982383671	0.981989969	0.986858725	0.986762849
CP001681	0.99521438	0.990014321	0.996361103	0.996168286	0.997174485	0.99713589
EBI_CM000157.fasta	0.991846094	0.986225864	0.996361681	0.996071581	0.999113022	0.999050366
EBI_CM000209.fasta	0.982466185	0.976116456	0.993618247	0.993283599	0.997969827	0.997788766
EBI_CM000377.fasta	0.99623684	0.990982473	0.998504396	0.998359863	0.999360718	0.999334905
EBI_CM000515.fasta	0.988448653	0.982315285	0.996176794	0.995877644	0.999465168	0.999407838
EBI_CP000828.fasta	0.972917747	0.966372988	0.975175341	0.974860464	0.980716592	0.980595959
EBI_CP003170.fasta	0.994541853	0.988971682	0.995897336	0.995681771	0.997056086	0.997012922
NCBI_Arabidopsis_chr1.fasta	0.978249935	0.971519325	0.983073251	0.982611239	0.986307403	0.986229607
