ID	D	D100	D200	D400	R100	R200	R400
NT_167185.1	0.998259	0.800529	0.820021	0.838339	0.295989	0.266588	0.237236
NT_077528.2	0.983814	0.818838	0.820928	0.821647	0.182998	0.179151	0.178367
NC_008397.2	0.999916	0.943437	0.966307	0.977017	0.083475	0.050188	0.032212
NC_008398.2	0.999991	0.954408	0.973998	0.983713	0.068713	0.041199	0.025461
NC_008399.2	0.999356	0.934294	0.951139	0.959889	0.089667	0.065088	0.050612
NC_008400.2	0.99978	0.941395	0.957705	0.966619	0.080212	0.056637	0.042926
NC_008401.2	0.999988	0.959347	0.978511	0.988502	0.064985	0.035903	0.018979
NC_008403.2	0.999627	0.937666	0.951786	0.958716	0.083173	0.061317	0.049047
CM001276	0.999682	0.806526	0.816870	0.828396	0.196721	0.184972	0.172510
CM000302	0.999886	0.896422	0.906415	0.916806	0.105701	0.094326	0.094326
CM000091	0.998527	0.863545	0.873674	0.883276	0.168271	0.155311	0.142472
BA000004	0.999995	0.999797	0.999871	0.999918	0.000407	0.000258	0.000164
FM178379	0.999988	0.983077	0.985891	0.990921	0.029806	0.025194	0.016775
FP929060	0.999923	0.812561	0.839226	0.884329	0.187813	0.161112	0.115931
FN543502	0.999995	0.998976	0.999031	0.999137	0.002031	0.001938	0.001726
AE017198	0.999987	0.997744	0.997961	0.998215	0.004513	0.004077	0.003569
CP000048	0.999977	0.998320	0.998804	0.999332	0.002236	0.001613	0.000790
CU234118	0.999996	0.996351	0.996761	0.997294	0.005585	0.005037	0.004344
CP001699	0.999997	0.994008	0.995405	0.996796	0.008810	0.006709	0.004750
CP003348	0.999993	0.992506	0.994297	0.996075	0.012729	0.009706	0.006684
AM263198	0.999984	0.991333	0.991929	0.992891	0.014101	0.013196	0.011817
CP001037	0.999995	0.983549	0.986483	0.990689	0.023260	0.019371	0.013838
CP001681	0.999994	0.996303	0.997395	0.998088	0.007083	0.005169	0.003824
EBI_CM000157.fasta	0.999999	0.992810	0.997069	0.999210	0.011801	0.005309	0.001486
EBI_CM000209.fasta	1.000000	0.984403	0.994272	0.998409	0.021982	0.008629	0.002433
EBI_CM000377.fasta	1.000000	0.997152	0.998992	0.999629	0.004024	0.001518	0.000609
EBI_CM000515.fasta	1.000000	0.988363	0.996406	0.999570	0.022138	0.007031	0.000857
EBI_CP000828.fasta	0.999992	0.977532	0.980770	0.985691	0.031788	0.027276	0.020404
EBI_CP003170.fasta	0.999997	0.996185	0.997231	0.998095	0.006372	0.004576	0.003099
NCBI_Arabidopsis_chr1.fasta	0.999994	0.981626	0.985906	0.988488	0.030611	0.024503	0.020734
