ID	Prec-100	Rec-100	Prec-200	Rec-200	Prec-200	Rec-200
NT_167185.1	0.825267364	0.819152267	0.861919819	0.861611403	0.861919819	0.861611403
NT_077528.2	0.797704059	0.792688404	0.84309849	0.842795544	0.84309849	0.842795544
NC_008397.2	0.936576605	0.929940719	0.968399211	0.968223694	0.968399211	0.968223694
NC_008398.2	0.945548664	0.938574853	0.971754968	0.971580279	0.971754968	0.971580279
NC_008399.2	0.94785252	0.941019088	0.970905525	0.970745343	0.970905525	0.970745343
NC_008400.2	0.950760122	0.943627338	0.973145186	0.972962468	0.973145186	0.972962468
NC_008401.2	0.947282112	0.940483806	0.97376078	0.973624255	0.97376078	0.973624255
NC_008403.2	0.955244085	0.948348692	0.976722757	0.976586537	0.976722757	0.976586537
CM001276	0.989371812	0.981462245	0.995404647	0.994954287	0.995404647	0.994954287
CM000302	0.984909071	0.976653301	0.99633004	0.995657163	0.99633004	0.995657163
CM000091	0.943607613	0.936217705	0.954057525	0.953804945	0.954057525	0.953804945
BA000004	0.968497519	0.961295466	0.971657703	0.97161146	0.971657703	0.97161146
FM178379	0.899098826	0.892636422	0.908054277	0.907644653	0.908054277	0.907644653
FP929060	1	0.99226402	1	0.999839171	1	0.999839171
FN543502	0.966625219	0.959619575	0.970055736	0.970037593	0.970055736	0.970037593
AE017198	0.979730071	0.972650173	0.981330924	0.981281678	0.981330924	0.981281678
CP000048	0.997925424	0.990946547	0.997831508	0.997831508	0.997831508	0.997831508
CU234118	0.995000473	0.987541239	0.996217405	0.996030362	0.996217405	0.996030362
CP001699	0.993410996	0.986140556	0.995409024	0.995332683	0.995409024	0.995332683
CP003348cd	0.989317086	0.982483947	0.991553077	0.991392475	0.991553077	0.991392475
AM263198	0.989597321	0.98200167	0.989729557	0.989659216	0.989729557	0.989659216
CP001037	0.979389327	0.972092345	0.982363873	0.982220711	0.982363873	0.982220711
CP001681	0.994687695	0.987411464	0.996284039	0.996187638	0.996284039	0.996187638
EBI_CM000157.fasta	0.990618485	0.983347854	0.995864732	0.995672915	0.995864732	0.995672915
EBI_CM000209.fasta	0.975231907	0.967872939	0.98997265	0.989615414	0.98997265	0.989615414
EBI_CM000377.fasta	0.993896177	0.986559807	0.997864312	0.997632348	0.997864312	0.997632348
EBI_CM000515.fasta	0.987270789	0.980020869	0.995827234	0.995674352	0.995827234	0.995674352
EBI_CP000828.fasta	0.971623463	0.96476621	0.974980393	0.974860464	0.974980393	0.974860464
EBI_CP003170.fasta	0.993997187	0.986558223	0.995616314	0.995497787	0.995616314	0.995497787
NCBI_Arabidopsis_chr1.fasta	0.976753731	0.969877726	0.982825381	0.982667109	0.982825381	0.982667109
