ID	Prec-100	Rec-100	Prec-200	Rec-200	Prec-400	Rec-400
NT_167185.1	0.827326877	0.780701624	0.863534744	0.840797948	0.894348894	0.890028626
NT_077528.2	0.803455517	0.7560406	0.844235033	0.820876752	0.897833935	0.893639957
NC_008397.2	0.938558248	0.885103672	0.969782749	0.94572152	0.98593933	0.981128287
NC_008398.2	0.947127586	0.892661207	0.97300286	0.94904624	0.985949324	0.98111788
NC_008399.2	0.949018611	0.895003237	0.971756464	0.94731796	0.984050139	0.979467576
NC_008400.2	0.951756869	0.89706764	0.973401453	0.949564856	0.985398368	0.980789122
NC_008401.2	0.948987744	0.895107089	0.97432397	0.950599369	0.988437311	0.98339292
NC_008403.2	0.956153506	0.901293449	0.977026535	0.952961761	0.986700637	0.982046861
CM001276	0.993036266	0.935946434	0.995922757	0.970761898	0.997870718	0.991366195
CM000302	0.993602522	0.936126956	0.998674697	0.973816034	0.999617708	0.989179088
CM000091	0.946544892	0.892351696	0.955997218	0.932274246	0.962087254	0.956710122
BA000004	0.967712562	0.91041917	0.971204763	0.947054064	0.978752931	0.973396155
FM178379	0.898939309	0.847465528	0.908765653	0.88608204	0.926263663	0.922530976
FP929060	1	0.942020361	1	0.972980797	1	0.990928976
FN543502	0.967001805	0.912029028	0.969480868	0.945854452	0.975938945	0.971047021
AE017198	0.978930006	0.923295027	0.980688238	0.958197421	0.983950742	0.978420155
CP000048	0.99798329	0.938956955	0.998109431	0.973110702	0.998474946	0.993712056
CU234118	0.995228478	0.938463911	0.995823028	0.97197114	0.996687672	0.99270445
CP001699	0.993260648	0.935737098	0.995346485	0.97017738	0.996851399	0.992045928
CP003348	0.989487355	0.934320588	0.991719262	0.967120181	0.994186858	0.98931001
AM263198	0.989194074	0.93358563	0.989453325	0.963469671	0.990431305	0.985715301
CP001037	0.979607474	0.9237883	0.982245944	0.958782167	0.987505186	0.982828136
CP001681	0.9946737	0.937821729	0.996371567	0.972481325	0.997393807	0.99241398
EBI_CM000157.fasta	0.991374969	0.934744193	0.996385941	0.970673475	0.999189635	0.994167816
EBI_CM000209.fasta	0.981738165	0.925502126	0.993594366	0.968800134	0.998112732	0.980724375
EBI_CM000377.fasta	0.996118932	0.938802915	0.998474425	0.973786323	0.999405083	0.994358533
EBI_CM000515.fasta	0.987837606	0.931324426	0.9961083	0.971157845	0.999504754	0.994215031
EBI_CP000828.fasta	0.971623452	0.915540385	0.974950311	0.950320587	0.98098683	0.975768013
EBI_CP003170.fasta	0.994085117	0.936741397	0.995351778	0.971038648	0.99708385	0.991731423
NCBI_Arabidopsis_chr1.fasta	0.977345156	0.921719226	0.983252516	0.958965022	0.986153206	0.98164824
